Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00001,0.0,0.0,48,Kinesthetic,14,0.6535170685857074,0.6535170685857075,0.38187809852659477,66,1,High,9,8,C
S00002,0.9219821056073614,0.0,30,Reading/Writing,20,0.0,0.38723248435509183,0.0,57,1,Medium,28,8,D
S00003,0.6692010643615295,0.0,47,Kinesthetic,11,0.0,0.7361211707976824,0.10146702597812524,79,1,Low,13,7,D
S00004,0.35539177861114657,0.0,13,Auditory,0,0.7818619129445222,0.20328409736557582,0.47017465748443,60,1,Low,24,10,B
S00005,0.08072973166240785,0.0,24,Auditory,19,0.8880270482864853,0.15984486869156744,0.42348587921001984,93,1,Medium,26,8,C
S00006,0.6458734497403782,0.0,26,Kinesthetic,5,0.7104607947144159,0.18471980662574816,0.20969391773337145,80,0,High,25,8,D
S00007,0.07006209949847443,0.0,49,Reading/Writing,13,0.7706830944832179,0.6319601374762388,0.04201493463818087,66,1,Low,30,10,D
S00008,0.5324495166945848,1.0,14,Reading/Writing,5,0.6507716315156037,0.4945864399518589,0.21995010616494096,76,1,Low,4,6,C
S00009,0.4456406731722292,1.0,45,Visual,16,0.0,0.04902047404894532,0.8938687731085695,70,0,Low,26,9,B
S00010,0.654924087537811,,35,Auditory,7,0.0,0.720416496291592,0.22819840366162153,100,0,Medium,5,9,C
S00011,0.6852658131617335,1.0,40,Kinesthetic,20,0.0,0.7236406986987906,0.08218822603338354,93,0,Medium,15,10,D
S00012,0.35796036171651385,1.0,14,Visual,18,0.7875127957763303,0.4252569097192185,0.26616637027316414,74,0,High,9,6,C
S00013,0.526273942951099,0.0,24,Visual,4,0.0,0.39365290932742214,0.7537062583982966,93,1,Medium,28,7,B
S00014,0.7452673769317066,1.0,44,Reading/Writing,20,0.0,0.5465294097499184,0.3819452070123926,51,1,Low,27,6,C
